,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T11,T10,T12,T13,T14,T15,T16,T17,T18,T19
M55,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
M58,1.0,,,,,,,,,,,,,,,,,,,
M180,1.0,,,,,,,,,,,,,,,,,,,
M111,1.0,,,,,,,,,,,,,,,,,,,
M89,,1.0,1.0,,,,,,,,,,,,,,,,,
M81,,1.0,,,,,,,,,,,,,,,,,,
M137,,1.0,,,,,,,,,,,,,,,,,,
M127,,1.0,,,,,,,,,,,,,,,,,,
M192,,1.0,,,,,,,,,,,,,,,,,,
M158,,1.0,,,,,,,,,,,,,,,,,,
M165,,,1.0,,,,,,,,,,,,,,,,,
M151,,,1.0,,,,,,,,,,,,,,,,,
M143,,,1.0,,,,,,,,,,,,,,,,,
M62,,,1.0,,,,,,,,,,,,,,,,,
M74,,,1.0,,,,,,,,,,,,,,,,,
M255,,,,1.0,,,,,,,,,,,,,,,,
M326,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
M260,,,,1.0,,,,,,,,,,,,,,,,
M212,,,,1.0,,,,,,,,,,,,,,,,
M259,,,,1.0,,,,,,,,,,,,,,,,
M231,,,,1.0,,,,,,,,,,,,,,,,
M368,,,,1.0,,,,,,,,,,,,,,,,
M282,,,,1.0,,,,,,,,,,,,,,,,
M374,,,,,1.0,1.0,,,,,,,,,,,,,,
M314,,,,,1.0,,,,,,,,,,,,,,,
M268,,,,,1.0,,,,,,,,,,,,,,,
M248,,,,,,1.0,,,,,,,,,,,,,,
M226,,,,,,1.0,,,,,,,,,,,,,,
M321,,,,,,1.0,,,,,,,,,,,,,,
M342,,,,,,1.0,,,,,,,,,,,,,,
M304,,,,,,1.0,,,,,,,,,,,,,,
M296,,,,,,1.0,,,,,,,,,,,,,,
M587,,,,,,,1.0,1.0,,,,,,,,,,,,
M483,,,,,,,1.0,1.0,,,,,,,,,,,,
M481,,,,,,,1.0,,,,,,,,,,,,,
M420,,,,,,,1.0,,,,,,,,,,,,,
M517,,,,,,,,1.0,,,,,,,,,,,,
M437,,,,,,,,,1.0,,,,,,,,,,,
M485,,,,,,,,,1.0,,,,,,,,,,,
M508,,,,,,,,,1.0,,,,,,,,,,,
M512,,,,,,,,,1.0,,,,,,,,,,,
M411,,,,,,,,,1.0,,,,,,,,,,,
M649,,,,,,,,,,1.0,,,,,,,,,,
M627,,,,,,,,,,1.0,1.0,,,,,,,,,
M611,,,,,,,,,,1.0,1.0,,,,,,,,,
M769,,,,,,,,,,1.0,,,,,,,,,,
M757,,,,,,,,,,1.0,,,,,,,,,,
M641,,,,,,,,,,1.0,,,,,,,,,,
M709,,,,,,,,,,1.0,,,,,,,,,,
M733,,,,,,,,,,1.0,,,,,,,,,,
M607,,,,,,,,,,1.0,,,,,,,,,,
M746,,,,,,,,,,,1.0,,,,,,,,,
M658,,,,,,,,,,,1.0,,,,,,,,,
M677,,,,,,,,,,,1.0,,,,,,,,,
M696,,,,,,,,,,,,1.0,,,,,,,,
M726,,,,,,,,,,,,1.0,,,,,,,,
M722,,,,,,,,,,,,1.0,,,,,,,,
M612,,,,,,,,,,,,1.0,,,,,,,,
M647,,,,,,,,,,,,1.0,,,,,,,,
M812,,,,,,,,,,,,,1.0,1.0,,,,,,
M869,,,,,,,,,,,,,1.0,,,,,,,
M831,,,,,,,,,,,,,1.0,,,,,,,
M970,,,,,,,,,,,,,1.0,,,,,,,
M838,,,,,,,,,,,,,1.0,,,,,,,
M890,,,,,,,,,,,,,1.0,,,,,,,
M919,,,,,,,,,,,,,1.0,,,,,,,
M818,,,,,,,,,,,,,,1.0,,,,,,
M939,,,,,,,,,,,,,,1.0,,,,,,
M1063,,,,,,,,,,,,,,,1.0,1.0,,,,
M1001,,,,,,,,,,,,,,,1.0,,,,,
M1189,,,,,,,,,,,,,,,1.0,,,,,
M1073,,,,,,,,,,,,,,,1.0,,,,,
M1048,,,,,,,,,,,,,,,1.0,,,,,
M1177,,,,,,,,,,,,,,,1.0,,,,,
M1077,,,,,,,,,,,,,,,1.0,,,,,
M1107,,,,,,,,,,,,,,,1.0,,,,,
M1188,,,,,,,,,,,,,,,1.0,,,,,
M1104,,,,,,,,,,,,,,,1.0,,,,,
M1084,,,,,,,,,,,,,,,1.0,,,,,
M1144,,,,,,,,,,,,,,,1.0,,,,,
M1051,,,,,,,,,,,,,,,,1.0,,,,
M1071,,,,,,,,,,,,,,,,1.0,,,,
M1036,,,,,,,,,,,,,,,,1.0,,,,
M1058,,,,,,,,,,,,,,,,1.0,,,,
M1117,,,,,,,,,,,,,,,,1.0,,,,
M1009,,,,,,,,,,,,,,,,1.0,,,,
M1153,,,,,,,,,,,,,,,,1.0,,,,
M1166,,,,,,,,,,,,,,,,1.0,,,,
M1149,,,,,,,,,,,,,,,,1.0,,,,
M1168,,,,,,,,,,,,,,,,1.0,,,,
M1305,,,,,,,,,,,,,,,,,1.0,,,
M1390,,,,,,,,,,,,,,,,,1.0,,,
M1258,,,,,,,,,,,,,,,,,1.0,,,
M1277,,,,,,,,,,,,,,,,,1.0,,,
M1353,,,,,,,,,,,,,,,,,1.0,,,
M1350,,,,,,,,,,,,,,,,,1.0,,,
M1328,,,,,,,,,,,,,,,,,1.0,,,
M1311,,,,,,,,,,,,,,,,,,1.0,,
M1263,,,,,,,,,,,,,,,,,,1.0,,
M1208,,,,,,,,,,,,,,,,,,1.0,,
M1203,,,,,,,,,,,,,,,,,,1.0,,
M1324,,,,,,,,,,,,,,,,,,1.0,,
M1500,,,,,,,,,,,,,,,,,,,1.0,
M1422,,,,,,,,,,,,,,,,,,,1.0,1.0
M1562,,,,,,,,,,,,,,,,,,,1.0,
M1520,,,,,,,,,,,,,,,,,,,1.0,
M1473,,,,,,,,,,,,,,,,,,,1.0,
M1414,,,,,,,,,,,,,,,,,,,1.0,
M1431,,,,,,,,,,,,,,,,,,,1.0,
M1482,,,,,,,,,,,,,,,,,,,,1.0
M1404,,,,,,,,,,,,,,,,,,,,1.0
