,T0,T4,T2,T3,T1,T5,T6,T8,T7,T9,T10,T14,T13,T12,T11,T15,T19,T17,T16,T18,T20,T23,T24,T21,T22,T25,T26,T28,T29,T27,T30,T31,T32,T34,T33,T35,T36,T39,T37,T38
M19,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M60,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M92,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M66,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M39,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M94,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M51,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M95,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M91,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M28,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M97,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M136,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M139,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M176,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M134,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M195,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M188,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M170,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M194,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M183,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M168,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M115,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M165,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M119,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M114,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M106,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M118,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M252,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M259,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M237,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M207,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M292,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M210,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M289,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M211,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M267,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M228,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M248,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M246,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M244,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M200,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M294,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M264,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M235,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M240,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M202,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M216,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M299,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M232,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M283,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M214,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M379,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
M313,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
M320,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
M367,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M355,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M368,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M359,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M330,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M386,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M376,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M354,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M329,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M343,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M392,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
M372,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
M328,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
M364,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M342,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M316,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M348,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M461,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
M402,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
