,T0,T1,T2,T3,T5,T4,T6,T8,T7,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
M1,1.0,,,,,,,,,,,,,,,,,,,
M18,,1.0,,,,,,,,,,,,,,,,,,
M20,,1.0,,,,,,,,,,,,,,,,,,
M16,,1.0,1.0,,,,,,,,,,,,,,,,,
M12,,1.0,,,,,,,,,,,,,,,,,,
M7,,1.0,,,,,,,,,,,,,,,,,,
M13,,1.0,,,,,,,,,,,,,,,,,,
M2,,,1.0,,,,,,,,,,,,,,,,,
M21,,,1.0,,,,,,,,,,,,,,,,,
M0,,,1.0,,,,,,,,,,,,,,,,,
M9,,,1.0,,,,,,,,,,,,,,,,,
M49,,,,1.0,1.0,,,,,,,,,,,,,,,
M32,,,,1.0,,,,,,,,,,,,,,,,
M30,,,,,1.0,,,,,,,,,,,,,,,
M45,,,,,1.0,,,,,,,,,,,,,,,
M36,,,,,1.0,,,,,,,,,,,,,,,
M42,,,,,,1.0,,,,,,,,,,,,,,
M37,,,,,,1.0,,,,,,,,,,,,,,
M54,,,,,,,1.0,1.0,,,,,,,,,,,,
M50,,,,,,,1.0,,,,,,,,,,,,,
M58,,,,,,,1.0,,,,,,,,,,,,,
M53,,,,,,,1.0,,,,,,,,,,,,,
M56,,,,,,,1.0,,,,,,,,,,,,,
M66,,,,,,,1.0,,,,,,,,,,,,,
M62,,,,,,,,1.0,,,,,,,,,,,,
M59,,,,,,,,1.0,,,,,,,,,,,,
M57,,,,,,,,1.0,,,,,,,,,,,,
M74,,,,,,,,,1.0,,,,,,,,,,,
M64,,,,,,,,,1.0,,,,,,,,,,,
M68,,,,,,,,,1.0,,,,,,,,,,,
M90,,,,,,,,,,1.0,1.0,,,,,,,,,
M76,,,,,,,,,,1.0,,1.0,,,,,,,,
M96,,,,,,,,,,1.0,,1.0,,,,,,,,
M82,,,,,,,,,,1.0,,,,,,,,,,
M85,,,,,,,,,,1.0,,,,,,,,,,
M91,,,,,,,,,,,1.0,1.0,,,,,,,,
M80,,,,,,,,,,,,1.0,,,,,,,,
M114,,,,,,,,,,,,,1.0,1.0,,,,,,
M113,,,,,,,,,,,,,1.0,,,,,,,
M118,,,,,,,,,,,,,1.0,,,,,,,
M106,,,,,,,,,,,,,1.0,,,,,,,
M117,,,,,,,,,,,,,,1.0,,,,,,
M131,,,,,,,,,,,,,,,1.0,,,,,
M144,,,,,,,,,,,,,,,1.0,,,,,
M142,,,,,,,,,,,,,,,1.0,,,,,
M140,,,,,,,,,,,,,,,1.0,,,,,
M149,,,,,,,,,,,,,,,,1.0,,,,
M126,,,,,,,,,,,,,,,,1.0,,,,
M139,,,,,,,,,,,,,,,,1.0,,,,
M137,,,,,,,,,,,,,,,,1.0,,,,
M158,,,,,,,,,,,,,,,,,1.0,1.0,,
M161,,,,,,,,,,,,,,,,,1.0,1.0,,
M160,,,,,,,,,,,,,,,,,1.0,,,
M172,,,,,,,,,,,,,,,,,,1.0,,
M174,,,,,,,,,,,,,,,,,,1.0,,
M173,,,,,,,,,,,,,,,,,,1.0,,
M153,,,,,,,,,,,,,,,,,,1.0,,
M163,,,,,,,,,,,,,,,,,,1.0,,
M198,,,,,,,,,,,,,,,,,,,1.0,
M195,,,,,,,,,,,,,,,,,,,1.0,
M180,,,,,,,,,,,,,,,,,,,,1.0
M15,,,,,,,,,,,,,,,,,,,,
M17,,,,,,,,,,,,,,,,,,,,
M5,,,,,,,,,,,,,,,,,,,,
M8,,,,,,,,,,,,,,,,,,,,
M14,,,,,,,,,,,,,,,,,,,,
M24,,,,,,,,,,,,,,,,,,,,
M3,,,,,,,,,,,,,,,,,,,,
M10,,,,,,,,,,,,,,,,,,,,
M23,,,,,,,,,,,,,,,,,,,,
M35,,,,,,,,,,,,,,,,,,,,
M25,,,,,,,,,,,,,,,,,,,,
M48,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,,,,,,,,,,,,,
M38,,,,,,,,,,,,,,,,,,,,
M41,,,,,,,,,,,,,,,,,,,,
M27,,,,,,,,,,,,,,,,,,,,
M31,,,,,,,,,,,,,,,,,,,,
M26,,,,,,,,,,,,,,,,,,,,
M46,,,,,,,,,,,,,,,,,,,,
M39,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,,,,,,,,,,,,
M29,,,,,,,,,,,,,,,,,,,,
M43,,,,,,,,,,,,,,,,,,,,
M34,,,,,,,,,,,,,,,,,,,,
M44,,,,,,,,,,,,,,,,,,,,
M47,,,,,,,,,,,,,,,,,,,,
M71,,,,,,,,,,,,,,,,,,,,
M69,,,,,,,,,,,,,,,,,,,,
M67,,,,,,,,,,,,,,,,,,,,
M73,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,,,,,,,,,,,,
M51,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,,,,,,,,,,,,
M61,,,,,,,,,,,,,,,,,,,,
M99,,,,,,,,,,,,,,,,,,,,
M88,,,,,,,,,,,,,,,,,,,,
M75,,,,,,,,,,,,,,,,,,,,
M93,,,,,,,,,,,,,,,,,,,,
M81,,,,,,,,,,,,,,,,,,,,
M78,,,,,,,,,,,,,,,,,,,,
M83,,,,,,,,,,,,,,,,,,,,
M94,,,,,,,,,,,,,,,,,,,,
M97,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,,,,
M87,,,,,,,,,,,,,,,,,,,,
M77,,,,,,,,,,,,,,,,,,,,
M98,,,,,,,,,,,,,,,,,,,,
M89,,,,,,,,,,,,,,,,,,,,
M95,,,,,,,,,,,,,,,,,,,,
M92,,,,,,,,,,,,,,,,,,,,
M86,,,,,,,,,,,,,,,,,,,,
M79,,,,,,,,,,,,,,,,,,,,
M121,,,,,,,,,,,,,,,,,,,,
M115,,,,,,,,,,,,,,,,,,,,
M101,,,,,,,,,,,,,,,,,,,,
M104,,,,,,,,,,,,,,,,,,,,
M111,,,,,,,,,,,,,,,,,,,,
M108,,,,,,,,,,,,,,,,,,,,
M112,,,,,,,,,,,,,,,,,,,,
M119,,,,,,,,,,,,,,,,,,,,
M110,,,,,,,,,,,,,,,,,,,,
M122,,,,,,,,,,,,,,,,,,,,
M100,,,,,,,,,,,,,,,,,,,,
M123,,,,,,,,,,,,,,,,,,,,
M120,,,,,,,,,,,,,,,,,,,,
M103,,,,,,,,,,,,,,,,,,,,
M109,,,,,,,,,,,,,,,,,,,,
M125,,,,,,,,,,,,,,,,,,,,
M145,,,,,,,,,,,,,,,,,,,,
M129,,,,,,,,,,,,,,,,,,,,
M128,,,,,,,,,,,,,,,,,,,,
M143,,,,,,,,,,,,,,,,,,,,
M138,,,,,,,,,,,,,,,,,,,,
M136,,,,,,,,,,,,,,,,,,,,
M147,,,,,,,,,,,,,,,,,,,,
M146,,,,,,,,,,,,,,,,,,,,
M133,,,,,,,,,,,,,,,,,,,,
M135,,,,,,,,,,,,,,,,,,,,
M157,,,,,,,,,,,,,,,,,,,,
M168,,,,,,,,,,,,,,,,,,,,
M156,,,,,,,,,,,,,,,,,,,,
M170,,,,,,,,,,,,,,,,,,,,
M165,,,,,,,,,,,,,,,,,,,,
M164,,,,,,,,,,,,,,,,,,,,
M166,,,,,,,,,,,,,,,,,,,,
M171,,,,,,,,,,,,,,,,,,,,
M154,,,,,,,,,,,,,,,,,,,,
M159,,,,,,,,,,,,,,,,,,,,
M155,,,,,,,,,,,,,,,,,,,,
M167,,,,,,,,,,,,,,,,,,,,
M162,,,,,,,,,,,,,,,,,,,,
M169,,,,,,,,,,,,,,,,,,,,
M150,,,,,,,,,,,,,,,,,,,,
M181,,,,,,,,,,,,,,,,,,,,
M188,,,,,,,,,,,,,,,,,,,,
M189,,,,,,,,,,,,,,,,,,,,
M176,,,,,,,,,,,,,,,,,,,,
M183,,,,,,,,,,,,,,,,,,,,
M187,,,,,,,,,,,,,,,,,,,,
M185,,,,,,,,,,,,,,,,,,,,
