,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T11,T10,T12,T13,T14,T15,T16,T17,T18,T19,cost
M30,0.9144187922788696,,,,,,,,,,,,,,,,,,,,88.88107772922717
M115,0.7150385057332405,0.8399335261679393,0.9019873411343715,,,,,,,,,,,,,,,,,,11.0597148389737
M183,0.9149889384996753,0.8305615088325483,0.7511559056013499,,,,,,,,,,,,,,,,,,33.94396633131555
M185,0.7773005548428004,0.9185679429959067,,,,,,,,,,,,,,,,,,,82.82390535442295
M140,0.7376619021050084,,0.7955302073351875,,,,,,,,,,,,,,,,,,7.795532932831975
M193,0.7131512055585791,,0.8634938772210294,,,,,,,,,,,,,,,,,,36.6374081988355
M43,0.93809119627981,,,,,,,,,,,,,,,,,,,,20.914065087511446
M58,0.942151803790896,,,,,,,,,,,,,,,,,,,,18.509758546057363
M66,0.8992371978291993,,,,,,,,,,,,,,,,,,,,86.0296605881696
M148,0.9237923837647852,,,,,,,,,,,,,,,,,,,,54.8148208529562
M127,0.9022730694016116,0.9365194899218888,0.769697154870009,,,,,,,,,,,,,,,,,,53.656454375639505
M88,0.8113228299275217,0.8898493066963169,,,,,,,,,,,,,,,,,,,51.74745556896249
M26,0.9078860638562434,0.7922624543986351,,,,,,,,,,,,,,,,,,,8.60045029090097
M98,0.9450641868298794,0.7075997125916791,,,,,,,,,,,,,,,,,,,54.49502221280648
M80,0.8846284323205436,0.9480489778657225,,,,,,,,,,,,,,,,,,,70.42047970498623
M40,0.7571151930263469,0.9353084143086641,0.8660746612973489,,,,,,,,,,,,,,,,,,57.8932559872714
M111,0.978039381951215,0.8097585977725328,,,,,,,,,,,,,,,,,,,59.14462863641945
M157,0.9279105242034911,0.8304742312804136,0.8932394096958634,,,,,,,,,,,,,,,,,,86.00515949326902
M179,0.960093951941735,0.78292492794188,0.9100470929806717,,,,,,,,,,,,,,,,,,81.56808975452498
M188,0.8858570278106925,,,,,,,,,,,,,,,,,,,,40.66026302285687
M134,0.890650005362828,0.825393812822602,0.7926035549924528,,,,,,,,,,,,,,,,,,64.21067517012952
M173,0.8348299651102599,0.9234877527565513,,,,,,,,,,,,,,,,,,,95.45916034798923
M64,0.7669893017334286,,,,,,,,,,,,,,,,,,,,99.09238273587758
M77,0.782006467577679,,,,,,,,,,,,,,,,,,,,84.33183255781917
M184,0.7715804022066569,,,,,,,,,,,,,,,,,,,,28.766624985341185
