,T0,T1,T4,T2,T3,T5,T9,T6,T8,T7,T10,T12,T14,T13,T11,T15,T16,T18,T19,T17,T20,T22,T24,T21,T23,T25,T29,T26,T28,T27,T30,T31,T34,T33,T32,T35,T36,T37,T39,T38
M1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M28,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M26,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M32,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
