,T0,T2,T9,T11,T1,T3,T4,T8,T5,T6,T7,T10,T12,T13,T17,T21,T23,T24,T16,T19,T22,T20,T14,T15,T18,T25,T26,T28,T29,T30,T32,T33,T37,T38,T34,T36,T35,T31,T27,T39,T42,T44,T46,T48,T49,T51,T43,T47,T50,T40,T41,T45,T52,T53,T55,T59,T60,T54,T56,T57,T58,T61,T63,T62,T64,T67,T68,T69,T70,T71,T72,T74,T65,T75,T66,T73,T76,T78,T81,T82,T83,T77,T80,T86,T85,T87,T79,T84,T88,T91,T92,T93,T94,T95,T96,T97,T99,T90,T89,T98,cost
M22,0.800188476016476,0.8958451479426988,0.8301415846519562,0.8786751050580084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.31731649477972
M47,0.7096409957537966,0.8880045915517458,0.7466752594219292,0.7945533015710102,0.9386651148809468,0.8494363451733075,0.7625511606940314,0.736282182300945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.097518707132963
M41,0.8940698309574521,0.8639235979895546,0.791736207499321,0.7749452682026297,0.8585354061723149,,0.7654437021775445,,0.8678506734987275,0.9712935115003155,0.7259314163936149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.00872601050014
M17,0.8504242917992239,0.8118878292425931,0.9335887563220728,0.9560864018415888,0.9225812775600606,0.7366727833756078,0.8903099235628954,,0.8240956572577566,0.8573167237190891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.955861515155195
M35,0.7302332663261152,0.9337806221484524,0.7365671913286203,0.8921193368841406,,,,,0.9137547554614049,,0.8839380001463428,0.8952133560886444,0.7881203226771507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.160887045899017
M11,0.9473992981227439,0.9412827716082814,0.8458908022168048,0.8227249183797758,0.8237361149933133,,,,0.8228305102264121,,,0.8113995763658309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.320179798274081
M45,0.7846395777343479,0.8068870656502771,0.9629863028963985,0.9382595078484213,0.9273158519048854,0.9403136517481692,,,0.9559824851453885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.33262988607659
M12,0.974304969127193,0.9525988963347527,0.8926154223779162,0.7358931570199031,0.8478158398684168,,0.8268908259351632,,0.8855893992869588,0.9065567798671307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.70879899669659
M21,0.8394423773959736,,,,0.7689986239748134,,,,0.7607682987561559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.40422243055905
M18,0.8915490673319353,0.8937716627740758,0.7891408996035354,0.7272308683036922,0.9250614059365166,0.8642418838576933,,,,0.7509366361789392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.16509614381731
M30,0.7453106015574678,0.7163812083954314,,0.8365651734776378,0.8182518257290656,0.8131427580450666,0.97661967626736,,0.725268984756714,,,0.8138422862272838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65096809046485
