,T0,T1,T2,T3,T5,T4,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
M32,1.0,,,,,,,,,,,,,,,,,,,
M48,1.0,1.0,,,,,,,,,,,,,,,,,,
M34,1.0,,,,,,,,,,,,,,,,,,,
M26,1.0,,,,,,,,,,,,,,,,,,,
M5,1.0,,,,,,,,,,,,,,,,,,,
M0,1.0,,,,,,,,,,,,,,,,,,,
M9,,,1.0,,,,,,,,,,,,,,,,,
M16,,,1.0,,,,,,,,,,,,,,,,,
M4,,,1.0,,,,,,,,,,,,,,,,,
M19,,,1.0,,,,,,,,,,,,,,,,,
M27,,1.0,,,,,,,,,,,,,,,,,,
M35,,1.0,,,,,,,,,,,,,,,,,,
M21,,1.0,,,,,,,,,,,,,,,,,,
M57,,,,1.0,,,,,,,,,,,,,,,,
M64,,,,1.0,,,,,,,,,,,,,,,,
M61,,,,1.0,1.0,,,,,,,,,,,,,,,
M52,,,,1.0,1.0,,,,,,,,,,,,,,,
M65,,,,1.0,,,,,,,,,,,,,,,,
M73,,,,1.0,1.0,,,,,,,,,,,,,,,
M50,,,,1.0,,,,,,,,,,,,,,,,
M68,,,,1.0,,,,,,,,,,,,,,,,
M74,,,,,1.0,,,,,,,,,,,,,,,
M95,,,,,1.0,,,,,,,,,,,,,,,
M62,,,,,1.0,1.0,,,,,,,,,,,,,,
M86,,,,,1.0,,,,,,,,,,,,,,,
M54,,,,,1.0,,,,,,,,,,,,,,,
M117,,,,,,,1.0,1.0,,,,,,,,,,,,
M144,,,,,,,1.0,,,,,,,,,,,,,
M101,,,,,,,1.0,,,,,,,,,,,,,
M140,,,,,,,,1.0,,,,,,,,,,,,
M104,,,,,,,,1.0,1.0,,,,,,,,,,,
M141,,,,,,,,1.0,,,,,,,,,,,,
M120,,,,,,,,1.0,,,,,,,,,,,,
M116,,,,,,,,1.0,1.0,,,,,,,,,,,
M149,,,,,,,,1.0,,,,,,,,,,,,
M106,,,,,,,,1.0,,,,,,,,,,,,
M137,,,,,,,,,1.0,,,,,,,,,,,
M192,,,,,,,,,,1.0,1.0,,,,,,,,,
M193,,,,,,,,,,1.0,1.0,,,,,,,,,
M164,,,,,,,,,,1.0,1.0,,,,,,,,,
M178,,,,,,,,,,1.0,,,,,,,,,,
M195,,,,,,,,,,1.0,,,,,,,,,,
M155,,,,,,,,,,1.0,,,,,,,,,,
M165,,,,,,,,,,1.0,,,,,,,,,,
M184,,,,,,,,,,1.0,,,,,,,,,,
M172,,,,,,,,,,,1.0,,,,,,,,,
M157,,,,,,,,,,,1.0,,,,,,,,,
M190,,,,,,,,,,,1.0,,,,,,,,,
M199,,,,,,,,,,,,1.0,,,,,,,,
M187,,,,,,,,,,,,1.0,,,,,,,,
M166,,,,,,,,,,,,1.0,,,,,,,,
M150,,,,,,,,,,,,1.0,,,,,,,,
M177,,,,,,,,,,,,1.0,,,,,,,,
M202,,,,,,,,,,,,,1.0,,,,,,,
M229,,,,,,,,,,,,,1.0,,,,,,,
M205,,,,,,,,,,,,,,1.0,,,,,,
M223,,,,,,,,,,,,,,1.0,,,,,,
M201,,,,,,,,,,,,,,1.0,,,,,,
M244,,,,,,,,,,,,,,1.0,,,,,,
M232,,,,,,,,,,,,,,1.0,,,,,,
M280,,,,,,,,,,,,,,,1.0,1.0,,,,
M265,,,,,,,,,,,,,,,1.0,,,,,
M272,,,,,,,,,,,,,,,1.0,,,,,
M270,,,,,,,,,,,,,,,1.0,,,,,
M259,,,,,,,,,,,,,,,1.0,,,,,
M289,,,,,,,,,,,,,,,,1.0,,,,
M285,,,,,,,,,,,,,,,,1.0,,,,
M281,,,,,,,,,,,,,,,,1.0,,,,
M293,,,,,,,,,,,,,,,,1.0,,,,
M300,,,,,,,,,,,,,,,,,1.0,,,
M339,,,,,,,,,,,,,,,,,1.0,,,
M348,,,,,,,,,,,,,,,,,1.0,,,
M313,,,,,,,,,,,,,,,,,1.0,,,
M345,,,,,,,,,,,,,,,,,,1.0,,
M332,,,,,,,,,,,,,,,,,,1.0,,
M389,,,,,,,,,,,,,,,,,,,1.0,
M364,,,,,,,,,,,,,,,,,,,1.0,
M363,,,,,,,,,,,,,,,,,,,1.0,
M374,,,,,,,,,,,,,,,,,,,1.0,
M388,,,,,,,,,,,,,,,,,,,1.0,
M395,,,,,,,,,,,,,,,,,,,,1.0
M379,,,,,,,,,,,,,,,,,,,,1.0
M353,,,,,,,,,,,,,,,,,,,,1.0
M352,,,,,,,,,,,,,,,,,,,,1.0
M24,,,,,,,,,,,,,,,,,,,,
M47,,,,,,,,,,,,,,,,,,,,
M25,,,,,,,,,,,,,,,,,,,,
M15,,,,,,,,,,,,,,,,,,,,
M41,,,,,,,,,,,,,,,,,,,,
M3,,,,,,,,,,,,,,,,,,,,
M12,,,,,,,,,,,,,,,,,,,,
M38,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,,,,,,,,,,,,,
M14,,,,,,,,,,,,,,,,,,,,
M18,,,,,,,,,,,,,,,,,,,,
M6,,,,,,,,,,,,,,,,,,,,
M31,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,,,,,,,,,,,,
