,T0,T3,T1,T4,T2,T5,T9,T6,T8,T7,T10,T11,T13,T14,T12,T15,T16,T17,T19,T18,T20,T21,T23,T24,T22,T25,T27,T29,T28,T26,T30,T31,T33,T32,T34,T35,T36,T37,T39,T38
M3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M23,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M27,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M38,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M25,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M33,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M31,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M64,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M51,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M70,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M67,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M66,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M57,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M69,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
M73,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
M78,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M87,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M76,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
M94,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M85,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M97,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M86,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
M98,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
M88,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M92,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M96,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
M95,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
M91,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
M89,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
M90,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
M123,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
M110,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
M100,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
M115,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
M120,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M114,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
M102,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
M111,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M124,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
M107,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M113,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M116,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
M148,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
M144,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
M127,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
