,T0,T2,T4,T7,T8,T11,T12,T3,T5,T10,T1,T9,T6,T13,T14,T17,T18,T19,T24,T25,T15,T16,T23,T22,T20,T21,T26,T27,T28,T29,T30,T32,T36,T38,T33,T35,T37,T31,T34,T39,T41,T47,T49,T51,T45,T40,T50,T43,T46,T48,T44,T42,T52,T53,T54,T57,T59,T60,T63,T55,T56,T58,T61,T62,T64,T68,T69,T70,T71,T74,T67,T75,T65,T73,T66,T72,T76,T78,T79,T81,T82,T80,T85,T86,T77,T87,T84,T83,T88,T89,T90,T91,T94,T97,T99,T96,T95,T93,T92,T98,cost
M129,0.8373900881140119,0.8844919095917175,0.8365177276347165,0.7463939655765924,0.7289259297011791,0.9078210405646758,0.9758314416549376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.288027686407865
M85,0.9484736155589588,0.850095942155872,,0.8993146657394695,0.8976832303851997,0.9497083216292728,0.7924284668650411,0.9777374393956797,0.8983547788447832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.53081387669931
M102,0.871832691562179,0.7182321218142375,0.8994528730594458,0.79799482101782,,0.7123115685146028,0.8181319495339073,0.761509628179165,,0.733151455654022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.196871032081464
M2,0.9615320342349943,0.9530067750420664,0.8882115728848978,0.8360856546526394,0.9510611036528553,0.7795040653116521,0.8573117281448206,0.914026406335126,,,0.7450065926580492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.176327956370628
M9,0.7684588769805013,0.7323750930916189,,0.911852702258281,0.7450557299300364,0.7325279361623466,0.9346056164990476,,,0.8099007272380143,0.9074845873881752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.13424419485837
M199,0.7418017774862172,0.7931757039453105,,0.9543882341547775,0.7382999528604313,0.9345721651792411,0.9640455128657307,0.8556581237406867,0.7262867539057298,0.8352369982577921,0.8744821893739408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.054241259219703
M16,0.7181920392413808,0.8553073209317542,0.8912711242583365,0.7866349423219996,0.9398094814380678,0.7840944673530302,0.7627957409485844,,0.7635380999012518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.19251962855378
M174,0.8958046617905008,0.9736794424430453,0.9087045131574321,,0.958214207638813,0.8253865051196333,0.731719710354547,0.7080701014504449,,0.9607362167485519,0.7566689391466893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9712011368278
M7,0.7887333824975886,0.8938175620555578,,0.9107562771899451,0.7341728035617796,0.9460532959903314,0.8519917032754827,0.8098885210737604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.098069748802
M185,0.8063682234318519,0.8784449892593531,0.9520989988638139,0.771540609767952,0.7638463295715396,0.9056789305942995,0.7774111180626425,0.731211491885006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.24630217462886
M166,0.7060762204142571,0.7528207220025537,0.7322257733098613,0.7656936243759881,0.7015833387256223,,0.8768916969216085,0.9520280735606302,0.9428199271839626,0.9787826345705076,0.7732392860438734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.38548150068128
M49,0.9133590167554034,0.8837487874182438,,0.8371026605494933,,0.8027468861643038,0.7187680319040806,0.9114464266514819,0.8466110418867845,,0.762627676214987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.84271590548749
M30,0.8623476320808219,0.7649197863671022,,0.9360354093426699,,0.9171596964682378,0.9577752902557725,0.9162695436140922,,0.743815822842421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.24114120907855
M147,0.7615417336161237,0.9253836596026405,,,0.8596705525659437,0.7941418216306504,0.8390982916711249,0.8833107127650681,0.7433767729775863,,0.7201849195872435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.162771480913264
M77,0.8977201709187439,0.7028403664349645,0.9322444437167785,,0.731762804787476,0.8943567510138306,0.9677091362210201,0.786751339470676,,0.8139327592006861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.338626803548664
M141,0.9086821741125997,0.7941177317857577,0.8690890058256157,,0.7647014357078543,0.861064406068343,0.889704581095072,0.8527332754078948,0.8601972881380059,0.7201999796905006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.305283062563852
M52,0.9451905381418134,0.9430630796239768,,0.7414916621682119,0.9472373036294228,0.7727571847964989,0.7929148121997436,0.9693098413215793,,0.8798327875598392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.470187131017575
M170,0.8431396040732948,0.9298521054760183,0.75850908654678,0.7853144457658112,0.933518169013128,0.7336615860663067,0.8963193586610325,0.8776441622421847,0.8722715993353571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.26774978093939
M23,0.8265080887007651,0.8026074623805943,,0.9552111049513301,0.9320718598875484,0.9185180954525978,0.7494888846312483,0.7107269628519979,0.8412091540686982,,0.7273510055936682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.04411482279941
M118,0.9259489552105226,0.9571371135846514,0.9508743093349973,0.9681566671004732,0.962719230700407,0.9100924119322228,0.8957314605533276,0.8579557872568137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.86013003097053
M68,0.8581126811830986,0.7168897541174221,0.8260839040540927,0.810883805457809,0.9413196348125742,0.8426264567191508,0.7355845911714959,0.7069532761353108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.09074990717952
M180,0.9368227151407859,0.8466512702390766,0.7542963943255854,0.7693357870299149,0.8251078841524018,0.7473163722724248,0.7433711014964097,,0.8368219930174716,,0.7183489173581395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.76532535596192
M151,0.951116962489135,0.7481518546653773,0.9163901968529451,0.7141276135264203,0.8810518565661989,0.7527319871335368,0.7322148010545998,,0.9288283085131912,0.8086904443889922,0.9650060962127429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.375250475212816
M196,0.8563931164996046,0.7802656180712196,,0.8170629119414854,0.7818593507007705,0.9223775490523929,0.9192934247655811,0.7086127902469246,0.7196309310896198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.267052055075858
M127,0.9187502393235937,0.9010280140398412,0.8583052960922705,0.8044206502638265,0.7239949307418416,0.7205783073033986,0.9783654406694525,0.8541827343701413,,0.8292344761156132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.03373048828843
M140,0.9519654181717736,,0.7131930180306428,0.969126554569587,0.9750119124532162,,0.7100096430573866,0.9225148138171201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.233426812863044
M182,0.9073668906742329,0.7308137407890517,0.8655597913806733,0.9727230781929668,0.9561417667677885,,0.7303579402141427,0.7542534140649969,,0.8669351136385811,0.846810051935224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.30605568879995
M189,0.9701313631661657,0.8890787067546501,0.7140369996752273,0.8016969283676143,0.8982238706870544,0.9288755005783647,0.8422412179662147,0.9071955818364282,,0.7348307805766577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8071283591706
M179,0.7792550099915709,,0.9385381236922836,0.7498876663762675,0.7617863409046417,0.862155390381905,0.7399662711770669,0.7062522638474408,0.8689720142494194,,0.9719149732169565,0.9443269799205851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40531367375446
M187,0.8040408992277852,0.8314602871046681,0.8261945667984214,0.8264500235351359,0.7304615506199078,0.9556208255071987,0.7595963485800207,0.7659546284200945,0.8594292358545526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78214917122561
M5,0.8955818319003468,0.7494787816558575,,0.9364820779817395,0.8434915505309203,0.916687333773274,0.7561088990467922,0.9096103104359065,,0.7456894481906626,0.7416067969058499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.3424927363361
M53,0.8675793269440664,0.8979181264353753,,0.9261292180519651,0.8493368093212665,0.8647583723471092,0.8884057066168277,0.8049059032925698,,0.889947187526954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.54462906962427
M195,0.7237866520177345,0.7853922135612964,0.885734346319556,0.7876611390891541,0.9675005623702196,0.8874034855322023,0.8048793059766988,0.7600467194965421,0.7611389425764805,0.7025974947148113,0.8723549954204661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.39986203818019
M50,0.9463869814072957,0.8663481172418768,,,0.9250809772792219,0.8211387438078845,0.7070500168134628,0.8886429689062321,0.7751505147762725,0.7170463276576945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.69385967878128
M95,0.7195996402784851,0.8562394934183932,0.9144137319596204,,0.8830094163380624,,0.9603128019283435,0.761889361069398,0.7610129984507586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.61941766309431
