,T0,T9,T11,T12,T1,T8,T10,T4,T6,T2,T3,T7,T5,T13,T14,T16,T17,T21,T22,T23,T25,T20,T19,T24,T15,T18,T26,T30,T34,T35,T36,T37,T38,T31,T33,T28,T29,T32,T27,T39,T42,T44,T46,T47,T41,T51,T43,T49,T40,T45,T50,T48,T52,T55,T56,T57,T58,T60,T63,T59,T53,T61,T54,T62,T64,T66,T67,T68,T69,T74,T71,T73,T75,T70,T65,T72,T76,T78,T79,T80,T84,T85,T87,T77,T82,T83,T81,T86,T88,T89,T91,T92,T93,T95,T96,T98,T90,T97,T99,T94,cost
M281,0.8814960247073043,0.9083042319244453,0.7304659196406769,0.8134754398044056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.88432635112712
M50,0.959341574632625,0.9371504189377887,,0.8027500861147268,0.9799887538991318,0.7648609832577089,0.9415089885533992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31251265969613
M46,0.7026888229143375,0.8969544193247566,,0.9334309824684112,0.9280998597637873,,0.8194420232753846,0.714148018502436,0.9465314393284759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26189174849944
M560,0.899814542964663,0.947105011570224,0.768355451857065,,,0.9069288183484232,,0.8709491182134781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.930888930120716
M601,0.7900269714672181,0.8714511156303864,0.916421129228501,0.8820669755218364,0.9737475830157507,0.8165793202247251,0.9675644214010451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67052104189379
M140,0.9774458871988263,0.872791179771295,,,,0.9238832410981489,,,,0.9394102029356868,0.72061111460926,0.7977690745038979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.360997148169297
M654,0.9590164456612073,0.7371699048336803,,0.9621206065608132,0.9420579996150096,0.810814389662154,,,0.784280400795961,0.9324778717180671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.30938422652187
M721,0.884243781522178,0.9455913985711512,,0.8398278490693611,0.8983604062360003,0.8974931498643033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.24159727487678
M160,0.8031283960672265,0.8998337917390855,,0.8588626626416165,0.7101551517784576,0.8915780040811019,0.927634354309149,0.8127339647850018,0.8364267655510499,0.920912483412959,,0.9356038057016157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.930506650355404
M130,0.7463465059838764,0.9077249398144516,,0.7003079448527115,,0.8602737646869381,,,,,,0.9720338384358246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.52915390933416
M797,0.8734391980561989,0.7687967904092042,,0.8911574847386512,0.9073730109424178,,,0.9164882477210099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23386247309319
M621,0.751711191823843,0.9145664058121149,,0.9631022930966958,0.7792420788673619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.14287436850151
M426,0.8544698874865632,0.7452597389252258,,0.8844156322613974,,,,0.87348966597961,0.8357428470718361,,,,0.8869088708131984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.19743133772121
