,T0,T1,T3,T4,T7,T10,T11,T5,T6,T12,T2,T9,T8,T13,T14,T16,T17,T19,T20,T23,T22,T18,T24,T15,T21,T25,T26,T29,T33,T34,T35,T37,T31,T27,T30,T28,T32,T36,T38,T39,T41,T43,T44,T45,T47,T49,T40,T48,T50,T51,T46,T42,T52,T53,T54,T55,T57,T63,T56,T61,T62,T59,T60,T58,T64,T65,T66,T67,T68,T69,T70,T71,T72,T75,T73,T74,T76,T77,T79,T83,T85,T86,T87,T81,T84,T78,T82,T80,T88,T92,T93,T94,T96,T99,T90,T91,T97,T98,T89,T95,cost
M0,0.7805695853555726,0.7424113787015862,0.8954884414732556,0.8552848932587657,0.7293481144974154,0.8333001257964926,0.8681262911048974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4956677027111
M9,0.8417320759309432,0.7308172490713807,0.7589923598225503,0.8234471215346165,,0.8518815266247431,0.8789608229469436,0.8405214257434676,0.7097195301218383,0.7475533038148907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51497223001523
M22,0.8627185598233648,0.7252624727225464,0.8359880922555751,0.8356103440189169,,,0.7772420785471208,0.7373249225045412,0.8517686422728309,0.8590315176362522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.15873093553601
M24,0.8716917030758629,0.9474953248562149,,0.858159777685629,0.8190542213382895,0.8828134239950067,0.9028868716903994,,0.8738248352806253,0.7956829592693332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.668498587104295
M13,0.9109825793166102,,,0.73644821058394,0.8318109397543582,0.9334911279032524,0.9347991099434183,,0.8448001047886501,,0.9196646825724379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.83479568114018
M23,0.7668546035192552,0.8132529996842215,0.7146703525572441,0.8985408800154023,,0.7604934777445463,0.7259522727262995,,,0.7095581095854281,,0.892133061908748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.644883929057405
M16,0.8538886863903451,,0.7357557847282749,0.8438267287567384,0.7872909683825808,,0.7864987539561962,0.732411515748472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.79397645337514
M18,0.787260307421137,,0.811276510928131,0.8128612439979183,0.7783913848914008,0.8750535032602348,0.7529136274519308,0.9061340894604457,,,0.9021253488420564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.889589424343267
M5,0.7088192179037668,,,0.9588878245091315,,,0.9614446519776505,0.8456809277235349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.00631666742846
M4,0.859971586778909,,0.9161716754563514,0.7735553854406486,,0.7452072279897773,0.8563131059846464,,0.8892347064014482,0.8600997208860226,0.7695806630562969,,0.836340551379258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.402387460666144
