,T0,T2,T3,T4,T5,T6,T8,T11,T13,T15,T16,T21,T23,T7,T10,T14,T12,T20,T24,T18,T19,T22,T1,T17,T9,T25,T26,T27,T30,T32,T33,T35,T36,T37,T38,T42,T43,T45,T47,T49,T34,T44,T46,T28,T31,T41,T29,T39,T48,T40,T50,T52,T54,T55,T59,T62,T64,T68,T70,T71,T73,T51,T61,T63,T66,T69,T65,T60,T72,T67,T58,T53,T56,T57,T74,T75,T76,T77,T80,T81,T82,T83,T85,T87,T89,T90,T91,T92,T93,T95,T99,T79,T97,T88,T78,T96,T94,T86,T98,T84,T100,T101,T103,T104,T105,T106,T110,T112,T113,T115,T116,T118,T119,T121,T122,T123,T124,T102,T107,T111,T117,T108,T114,T120,T109,T125,T126,T130,T133,T135,T137,T139,T142,T145,T149,T132,T140,T141,T146,T147,T127,T131,T138,T143,T128,T134,T148,T136,T129,T144,T150,T151,T152,T153,T155,T158,T159,T160,T163,T164,T166,T169,T171,T173,T161,T165,T167,T156,T157,T168,T174,T154,T162,T172,T170,T175,T176,T177,T179,T181,T183,T187,T190,T192,T193,T194,T199,T178,T182,T184,T185,T186,T198,T191,T180,T189,T196,T195,T197,T188,cost
M35,0.9702624030285076,0.9201621133095638,0.9262964026413585,0.9412901401772303,0.8944347089501756,0.8836865095863222,0.8671318614591077,0.7639288579305454,0.8948741511722025,0.9311988895617382,0.9633976003660526,0.9342763277598443,0.9271805730299875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.93060107264646
M184,0.9418272439243421,,0.739192722567011,0.901386201766307,,0.9122974294093075,0.70879767928194,0.7348036702927185,0.7911187837743594,0.8258461042682727,,0.9478672784443976,0.8407253918123165,0.7745823019797671,0.7888557576872742,0.7372749129629541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.02763949864307
M101,0.9723241600940059,0.7041975343478639,0.7938334555386464,0.8276239379309753,0.7555413951793374,,0.7165412335050998,0.8201331240680068,0.949029807049902,0.9428218999767776,0.975753464646803,0.7029791785327306,,,0.7984337880209095,0.9063695992655326,0.8215163187324797,0.89306721766338,0.7700486414209934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.74347454976649
M106,0.8727830204403094,,0.7998837444661661,0.7671333418833735,,0.9577218720539993,0.9267707390301949,0.8218288044819027,0.9527272005349481,0.845035063086352,0.7534795741074559,,0.7749271463750014,0.8295012576032162,,,,,,0.8131089677409358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.44083018526062
M150,0.8871965675771337,0.9599093144483811,0.7015502607269519,0.8077538761759632,,0.758412750536549,0.789533661419181,0.7706765594082473,0.7843669915885297,0.7735201524636104,,,,,,0.8405767099551449,0.8094741923146724,,0.9323205686240816,,0.7143441720497912,0.804257600587829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.31388250752292
M43,0.949924110182678,,,0.8925046103864138,0.8100848782279371,0.8839907117484466,0.8387926684900453,0.9591482592714967,,0.70655883234375,,0.7579373041424813,,,,,0.7440287600490294,0.8570153232168599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6210284890969
M77,0.7989582605110859,0.7281391054663622,0.9344950279702013,0.7931702881176339,0.7275973097198154,0.8536945830798841,0.9148588621295571,0.8328348411555957,,,0.7696562997053386,0.7166491998290199,0.8163811064881292,0.766873049201527,,,0.8533954061754775,,,0.7640563742430893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.178225955083033
M117,0.7626555151628799,0.8837999767431624,0.9434031958045668,0.7021147560778653,0.9748699636571398,0.8769452602496739,0.9232437225530052,0.7466036647727892,,0.9741011033059034,0.8037436513092497,0.8857218905477884,0.8454929923241106,,,,0.837474222421051,,,,0.9460087369072349,,0.7653034904681462,0.9745074445119851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.56650997817167
M4,0.7270935680971569,,0.8405014309844636,0.8204286197431649,0.8124247179545423,,0.8250148545163672,0.9357434356568417,0.7097120689758024,0.8651425904273449,0.8089170109560022,,0.7267134226669323,0.9647328581766147,0.9223114046649631,,0.8017390936364833,0.9482381807737337,0.8818445055624716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.78619739381911
M142,0.8143036387279196,0.8812034446500525,0.7026362599340163,0.7540346337542808,0.7252222209904665,,0.8431099572943767,0.7370027641429127,,0.8934052253120585,0.9787661480692939,0.7713407247957575,0.7645728751748341,,0.7926685030216782,0.7881504488040847,0.7108555420187751,0.8568749672400205,,,,,,0.9293739473038867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.388665914782734
