,T0,T2,T3,T4,T1,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T19,T17,T18,T20,T21,T24,T23,T22,T25,T28,T29,T27,T26,T30,T34,T33,T32,T31,T35,T36,T37,T38,T39,cost
M166,0.7270759017581468,0.8407927429177322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.94868546139887
M139,0.7569797115920011,0.9359784499659112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71203541610733
M164,0.8136572058605411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.641525062500136
M101,0.8435603568918464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.652839701618014
M56,0.7714568684764115,0.9615622967315249,0.9389509688035692,0.8113701602237909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.45207734474228
M144,0.8887415205257376,0.8385143053238151,0.7298446320849481,,0.9794161713932424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.396121996889384
M20,0.8487040018037229,0.8795415923175098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.07149632481118
M187,0.8442297388952827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.31059930878405
M109,0.978604721592797,0.8445291566297606,,,0.9269755799104435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.11394568965246
M4,0.8549209000642546,0.8240715438364072,0.9476719496046759,,0.7969194353452382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.60822829339518
M73,0.7636316950892577,0.7494687322153335,0.8206383503398743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.979203641558726
M96,0.7043569034369103,0.8553610091945743,,,0.7904092192571042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.902771876845435
M155,0.7108856449715787,0.8285362043547417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.81128957317313
M140,0.8383977403600995,,,,0.8829190417324294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.93047092272478
