,T0,T6,T8,T9,T10,T11,T1,T3,T4,T5,T7,T12,T2,T13,T14,T15,T18,T22,T23,T25,T19,T21,T17,T20,T16,T24,T26,T29,T31,T32,T34,T35,T36,T37,T27,T28,T33,T30,T38,T39,T40,T42,T43,T44,T45,T50,T51,T46,T41,T49,T47,T48,T52,T53,T55,T56,T58,T59,T60,T61,T62,T63,T57,T54,T64,T67,T68,T70,T71,T72,T73,T75,T66,T69,T65,T74,T76,T77,T78,T79,T80,T81,T84,T86,T87,T83,T82,T85,T88,T89,T92,T97,T94,T95,T98,T93,T96,T99,T90,T91,cost
M31,0.931173408516087,0.8187299324256863,0.9591065498506394,0.7346140542298703,0.7416580387116287,0.7075155368356726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.45152859868635
M57,0.7548034378888938,0.8453429468099083,0.9044151428212548,0.7747191181619542,,0.7623077997794162,0.8381533522948884,0.8044151632924178,0.9262294310952754,0.7716676299182352,0.8019264943749621,0.7093920396150368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.60958774689781
M53,0.9458545244242411,0.8499617009753325,,,,0.8334689329204722,0.7232143482471047,,,,0.7680771147586892,0.9699354673343952,0.7707407444363985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.052698717754005
M83,0.7407616814071591,0.84188512201069,0.8050072045458854,,,,0.7382445872864167,0.8285075236411208,,,0.801684175280312,,0.8085833092410686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.40263596190978
M88,0.7596683111592099,0.8756696458863397,,0.8794024193187246,,0.8312936116525353,,0.7454916794513129,0.7036558002831405,,0.8970279821463162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.62658451807174
M3,0.8613001658994608,,,,0.7314015318652685,0.9301410758123333,0.926758321221636,,,,0.854194871850883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34833741978801
M42,0.7170980546431196,,,0.9360505254331892,,,0.8623608461452454,,,,0.758635844447891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.03913757910638
M14,0.8187918860244481,0.9128567795183733,,0.9685307651520783,,0.7126186759753814,0.8850657853772186,0.7304990079404177,,,0.9204941431826115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.02275103968428
M29,0.829335152586743,0.9580166281514625,,0.7461521219619658,0.9467811201249019,0.7634405239389102,0.7668096398034134,,,,0.7254580485880037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.85082281505986
M91,0.9409694232458425,0.7856907593229163,,0.9208609175378677,,0.7473046853526089,,,,,0.834863477887514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.503466652748454
