,T0,T1,T3,T4,T5,T6,T7,T8,T9,T10,T14,T16,T22,T24,T13,T20,T21,T2,T18,T19,T11,T12,T15,T17,T23,T25,T26,T27,T28,T29,T33,T34,T36,T37,T39,T42,T45,T48,T31,T38,T46,T35,T40,T49,T32,T41,T47,T43,T44,T30,T50,T52,T53,T54,T59,T60,T61,T62,T64,T68,T71,T72,T70,T74,T66,T67,T73,T57,T51,T65,T56,T69,T55,T58,T63,T75,T79,T80,T83,T84,T87,T89,T90,T91,T92,T93,T95,T96,T98,T77,T81,T85,T99,T76,T82,T88,T94,T78,T97,T86,T100,T102,T103,T105,T106,T111,T113,T115,T116,T119,T122,T124,T101,T104,T117,T120,T107,T114,T123,T108,T112,T110,T121,T109,T118,T125,T126,T127,T131,T132,T133,T136,T139,T142,T145,T147,T148,T129,T134,T135,T141,T143,T149,T130,T128,T138,T146,T137,T140,T144,T150,T151,T153,T154,T157,T158,T159,T160,T161,T164,T165,T166,T170,T174,T162,T163,T167,T169,T173,T155,T171,T172,T152,T168,T156,T175,T176,T177,T178,T179,T186,T188,T189,T190,T192,T193,T196,T197,T198,T180,T181,T187,T191,T184,T194,T199,T182,T183,T185,T195,cost
M27,0.9342799323725753,0.8165257751786106,0.8544064441725726,0.8550116823504759,0.7713942356629617,0.9314502951754423,0.79570639494978,0.8469003215518118,0.8496720613227653,0.7509924117031326,0.9123163705352266,0.8607449562303489,0.9642009927659404,0.8246367000984377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.84209246493856
M10,0.818922820944481,0.9765784808812407,0.9398371581907934,,0.9531217956826965,0.8735109095779353,0.8236873993985994,0.7662966047509796,0.8715844480312431,0.7488768261353899,,,0.8549198919569954,0.7350038018289061,0.8808819068601836,0.7799050273957698,0.9563020408458325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.65712115320669
M36,0.8423199014378179,0.9626193009049804,0.942784347033681,,0.8110227382090294,0.8455063190980949,0.9438048452986968,0.791764843363846,,0.9758478618473171,0.7178108547167221,0.7526960520303857,0.8442063237772583,0.785729512353547,,,,0.8604436372723061,0.9632012307405249,0.9284034778216036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.53989104766136
M8,0.8639063179022008,0.8944063074866624,,,0.9284401367060645,0.7978038050923936,0.7155514647089336,0.7063769323348768,0.9663356269022823,0.9697631065002378,0.952115765740786,,0.8280935876451481,,,0.7299340017739504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.01058414634939
M31,0.9197035105990214,0.7524469075246925,,,0.7017013611058055,0.8670698493207858,0.8738937453738396,,0.7432577627374112,0.7045593182539673,0.8248438818143977,0.8755123018350578,0.8847033173544937,0.855792739097063,,,0.7618902633069118,0.8155359564583833,,,0.843155798044372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.42531356855437
M1,0.7107798438128374,0.8536976058565152,0.8055676007377481,0.7204486519979193,0.7125211633518246,0.8019652455123842,0.7792869751046986,0.8060235622036284,,0.7687736547875998,,0.7918267121571445,0.9395816952684608,0.939669776939934,,0.7906344649425757,,,,0.7908874653337894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67675741859067
M40,0.8398613115121267,,,,0.7601446892496067,0.7004438739495922,0.7411260345033185,0.7707843149958109,0.8344111660748614,0.8670426376342961,,0.904106602610147,0.9159713725067968,0.7648993262540607,,,,,,0.8477684011100435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.791350133694365
M12,0.8749909562718983,0.900316156450918,0.8598891668531548,,0.9231419826870783,0.9409224868931818,0.7095929040676009,0.7544325561839352,0.9336061645439031,0.701616285894626,0.9314838707376125,,0.9190835087337401,,0.9374618080405736,0.9419386885432682,,,,0.8331785379532686,,0.807960823553618,0.8605180847117659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.731705536365482
M34,0.7444309920105543,0.8451699785942868,,,0.868219813261773,0.7955044063052061,0.7699694245932253,0.9242112183212197,0.7834965232005181,,,,0.9083834071639509,0.7342700430847464,0.886979385483207,,,,,,0.9605346266894659,,0.7227421069730696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.244286153401884
M11,0.8075909447837137,0.8680360122005502,0.9321840478155047,,0.9398182598485066,0.9259145257398469,0.9048646092935033,0.7863710651633234,,,,0.9374851674343825,0.9768684634696293,0.7691946389616178,,,,,,,,,0.9430523411367295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.65257322064573
