,T0,T4,T2,T1,T3,T5,T6,T7,T8,T9,T10,T12,T13,T14,T11,T15,T16,T17,T19,T18,T20,T22,T23,T24,T21,T25,T27,T28,T29,T26,T30,T32,T33,T31,T34,T35,T36,T37,T38,T39
M45,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M16,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M26,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M17,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M19,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M41,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M32,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M37,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M18,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M47,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M40,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M24,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M38,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M49,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M34,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M93,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M90,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M50,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M98,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M74,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M53,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M91,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M76,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M55,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M72,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M84,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
